Type,Time (s),Beat,Confidence
BREAKDOWN,0.6,1,51.9%
BREAKDOWN,8.7,18,62.1%
BREAKDOWN,16.8,34,72.5%
DROP,22.9,47,89.1%
TRANSITION,22.9,47,52.3%
BREAKDOWN,24.9,51,100.0%
TRANSITION,27.1,56,98.7%
DROP,28.0,57,60.9%
TRANSITION,31.3,64,100.0%
BREAKDOWN,33.0,68,75.4%
DROP,33.2,68,98.7%
TRANSITION,35.3,72,100.0%
DROP,38.2,78,68.7%
TRANSITION,39.5,81,77.6%
BREAKDOWN,41.1,84,100.0%
DROP,43.3,89,73.7%
TRANSITION,43.6,89,100.0%
TRANSITION,47.7,98,68.6%
DROP,48.6,100,100.0%
BREAKDOWN,49.2,101,100.0%
TRANSITION,51.9,106,53.7%
DROP,54.1,111,74.2%
TRANSITION,56.0,115,100.0%
BREAKDOWN,57.3,117,59.9%
DROP,59.4,122,55.8%
TRANSITION,60.4,124,82.7%
TRANSITION,64.6,132,100.0%
DROP,64.8,133,100.0%
BREAKDOWN,65.4,134,100.0%
TRANSITION,68.6,141,100.0%
DROP,69.9,143,60.7%
TRANSITION,72.8,149,79.9%
BREAKDOWN,73.5,151,100.0%
DROP,75.3,154,100.0%
TRANSITION,77.0,158,100.0%
DROP,80.4,165,63.2%
TRANSITION,81.0,166,100.0%
BREAKDOWN,81.5,167,55.2%
TRANSITION,85.2,175,59.6%
DROP,85.5,175,100.0%
TRANSITION,89.4,183,50.0%
BREAKDOWN,90.0,185,89.2%
DROP,90.9,186,56.0%
BREAKDOWN,98.7,202,70.2%
DROP,106.7,219,79.9%
TRANSITION,106.7,219,84.5%
BREAKDOWN,106.8,219,100.0%
TRANSITION,110.8,227,59.0%
DROP,111.9,230,60.7%
TRANSITION,114.8,235,100.0%
BREAKDOWN,114.9,236,100.0%
DROP,117.2,240,82.7%
TRANSITION,118.9,244,51.1%
DROP,122.4,251,71.2%
TRANSITION,122.9,252,100.0%
BREAKDOWN,123.0,252,100.0%
TRANSITION,127.2,261,75.1%
DROP,127.7,262,100.0%
BREAKDOWN,131.1,269,83.6%
BREAKDOWN,139.2,285,61.0%
BREAKDOWN,147.3,302,71.2%
TRANSITION,149.4,306,50.8%
TRANSITION,154.2,316,58.3%
BREAKDOWN,155.9,320,52.2%
TRANSITION,158.7,326,81.7%
DROP,160.0,328,57.9%
TRANSITION,162.9,334,65.7%
BREAKDOWN,163.9,336,93.4%
DROP,165.3,339,71.2%
TRANSITION,167.0,342,69.6%
DROP,170.5,350,68.1%
TRANSITION,171.0,351,100.0%
BREAKDOWN,172.0,353,100.0%
TRANSITION,175.1,359,57.9%
DROP,175.8,360,52.9%
TRANSITION,179.1,367,100.0%
BREAKDOWN,180.1,369,100.0%
DROP,181.0,371,100.0%
BREAKDOWN,188.2,386,58.6%
DROP,190.5,391,100.0%
TRANSITION,190.5,391,100.0%
TRANSITION,194.6,399,68.1%
DROP,195.8,401,66.1%
BREAKDOWN,196.3,403,100.0%
TRANSITION,198.6,407,100.0%
DROP,201.0,412,69.2%
TRANSITION,202.7,416,52.5%
BREAKDOWN,204.4,419,100.0%
DROP,206.2,423,80.1%
TRANSITION,206.7,424,100.0%
TRANSITION,210.8,432,70.4%
DROP,211.5,434,70.4%
BREAKDOWN,212.5,436,100.0%
TRANSITION,214.8,441,100.0%
DROP,216.7,444,83.2%
TRANSITION,218.9,449,59.2%
BREAKDOWN,220.6,452,100.0%
DROP,222.0,455,65.5%
TRANSITION,222.9,457,100.0%
TRANSITION,227.0,466,72.8%
DROP,227.2,466,86.8%
BREAKDOWN,228.7,469,100.0%
BREAKDOWN,236.8,486,50.4%
BREAKDOWN,245.4,503,52.1%
DROP,245.8,504,100.0%
TRANSITION,245.8,504,100.0%
TRANSITION,249.8,512,53.7%
DROP,251.0,515,68.8%
BREAKDOWN,253.5,520,100.0%
TRANSITION,253.9,521,94.4%
DROP,256.2,525,79.5%
TRANSITION,258.0,529,51.6%
DROP,261.5,536,71.9%
BREAKDOWN,261.5,536,100.0%
TRANSITION,262.0,537,100.0%
TRANSITION,266.1,546,68.4%
DROP,266.7,547,77.3%
BREAKDOWN,269.7,553,100.0%
TRANSITION,270.1,554,100.0%
DROP,272.0,558,80.6%
TRANSITION,274.3,563,100.0%
DROP,277.2,568,51.0%
BREAKDOWN,277.8,570,100.0%
TRANSITION,278.4,571,63.2%
DROP,282.4,579,100.0%
TRANSITION,282.4,579,100.0%
BREAKDOWN,285.8,586,100.0%
TRANSITION,286.5,587,52.4%
DROP,287.7,590,84.6%
TRANSITION,290.5,596,72.9%
DROP,292.9,601,97.4%
BREAKDOWN,293.9,603,100.0%
TRANSITION,294.8,605,100.0%
DROP,298.1,611,73.5%
TRANSITION,298.9,613,61.5%
BREAKDOWN,302.0,619,100.0%
TRANSITION,302.9,621,52.3%
DROP,303.4,622,100.0%
TRANSITION,307.2,630,100.0%
DROP,308.6,633,100.0%
BREAKDOWN,310.1,636,100.0%
TRANSITION,311.5,639,100.0%
DROP,313.8,644,66.3%
BREAKDOWN,318.2,653,69.9%
BREAKDOWN,327.3,671,55.0%
BREAKDOWN,335.4,688,53.7%
BREAKDOWN,343.5,704,53.6%
TRANSITION,343.7,705,52.3%
TRANSITION,348.2,714,54.1%
BREAKDOWN,352.1,722,57.7%
TRANSITION,352.3,722,56.2%
TRANSITION,356.3,731,58.2%
DROP,360.0,738,100.0%
BREAKDOWN,360.1,739,58.4%
TRANSITION,360.4,739,71.7%
TRANSITION,364.4,747,100.0%
DROP,365.3,749,85.8%
BREAKDOWN,368.2,755,100.0%
TRANSITION,368.4,755,68.8%
DROP,370.5,760,64.0%
TRANSITION,372.4,764,80.1%
DROP,375.8,771,86.6%
BREAKDOWN,376.3,772,99.3%
TRANSITION,376.5,772,57.3%
TRANSITION,380.6,780,100.0%
DROP,381.0,781,83.1%
BREAKDOWN,384.4,788,100.0%
TRANSITION,384.6,789,57.6%
DROP,386.2,792,67.8%
TRANSITION,388.6,797,54.8%
DROP,391.5,803,78.8%
BREAKDOWN,392.5,805,100.0%
TRANSITION,392.9,806,100.0%
DROP,396.7,814,70.6%
TRANSITION,397.0,814,52.3%
BREAKDOWN,400.6,822,100.0%
TRANSITION,401.0,822,100.0%
BREAKDOWN,408.7,838,61.9%
DROP,409.6,840,100.0%
TRANSITION,409.6,840,100.0%
TRANSITION,413.8,849,61.8%
DROP,414.8,851,69.5%
BREAKDOWN,416.8,855,100.0%
TRANSITION,417.9,857,100.0%
DROP,420.0,861,100.0%
TRANSITION,422.0,865,100.0%
BREAKDOWN,424.9,871,100.0%
DROP,425.2,872,68.1%
TRANSITION,426.2,874,91.1%
TRANSITION,430.3,882,100.0%
DROP,430.5,883,100.0%
BREAKDOWN,433.0,888,100.0%
TRANSITION,434.4,891,100.0%
DROP,435.8,894,70.4%
TRANSITION,438.5,899,74.9%
DROP,441.0,904,67.8%
BREAKDOWN,441.1,905,100.0%
TRANSITION,442.7,908,100.0%
DROP,446.1,915,63.1%
TRANSITION,447.1,917,53.7%
BREAKDOWN,449.1,921,98.8%
DROP,451.2,925,100.0%
TRANSITION,451.3,925,100.0%
