Type,Time (s),Beat,Confidence
BREAKDOWN,3.5,6,55.4%
DROP,4.3,7,50.2%
BREAKDOWN,13.8,24,52.1%
BREAKDOWN,24.1,41,50.9%
BREAKDOWN,33.5,58,55.2%
BREAKDOWN,46.6,80,51.3%
BREAKDOWN,58.8,101,50.4%
DROP,62.0,107,100.0%
TRANSITION,62.0,107,100.0%
TRANSITION,66.2,114,100.0%
BREAKDOWN,66.8,115,66.5%
DROP,67.1,116,89.4%
TRANSITION,70.4,121,98.9%
DROP,72.3,124,100.0%
TRANSITION,74.6,129,100.0%
BREAKDOWN,75.2,129,54.8%
DROP,77.4,133,78.9%
TRANSITION,78.9,136,100.0%
DROP,82.6,142,91.3%
TRANSITION,83.1,143,77.2%
BREAKDOWN,83.2,143,100.0%
TRANSITION,87.3,150,100.0%
DROP,87.7,151,62.6%
TRANSITION,91.5,158,100.0%
BREAKDOWN,91.6,158,100.0%
DROP,92.9,160,77.1%
TRANSITION,95.7,165,72.4%
DROP,98.1,169,89.0%
TRANSITION,99.9,172,100.0%
BREAKDOWN,100.0,172,70.8%
DROP,103.2,178,60.3%
TRANSITION,104.2,179,100.0%
BREAKDOWN,108.5,187,69.6%
DROP,108.8,187,57.2%
TRANSITION,109.3,188,54.0%
TRANSITION,114.0,196,55.2%
DROP,114.5,197,63.5%
BREAKDOWN,116.9,201,83.9%
TRANSITION,118.7,204,52.0%
DROP,120.1,207,58.3%
TRANSITION,122.8,212,54.4%
BREAKDOWN,124.9,215,58.7%
DROP,125.2,216,68.1%
TRANSITION,127.1,219,100.0%
DROP,130.9,225,87.8%
TRANSITION,131.4,226,100.0%
BREAKDOWN,133.3,230,100.0%
TRANSITION,135.6,234,80.9%
DROP,136.5,235,97.6%
TRANSITION,139.8,241,100.0%
BREAKDOWN,141.3,243,64.3%
DROP,142.1,245,73.5%
TRANSITION,144.0,248,100.0%
DROP,147.7,255,67.7%
TRANSITION,148.2,255,75.7%
BREAKDOWN,149.7,258,80.8%
DROP,153.8,265,54.4%
TRANSITION,154.3,266,55.9%
BREAKDOWN,158.2,272,72.5%
TRANSITION,159.0,274,54.4%
DROP,159.5,275,64.8%
TRANSITION,163.7,282,52.0%
DROP,165.1,284,58.9%
BREAKDOWN,166.6,287,86.3%
TRANSITION,169.3,292,53.0%
DROP,171.6,296,56.8%
TRANSITION,174.0,300,53.7%
BREAKDOWN,175.0,301,61.9%
TRANSITION,178.7,308,51.0%
DROP,179.1,309,55.1%
TRANSITION,182.9,315,57.1%
BREAKDOWN,183.5,316,70.0%
DROP,184.3,317,53.5%
TRANSITION,187.1,322,82.1%
DROP,189.5,326,67.5%
TRANSITION,191.4,330,57.5%
BREAKDOWN,191.9,331,100.0%
DROP,195.1,336,55.6%
TRANSITION,195.6,337,51.1%
TRANSITION,199.8,344,71.6%
BREAKDOWN,200.3,345,74.3%
DROP,201.6,347,66.1%
TRANSITION,204.0,351,76.8%
TRANSITION,208.7,360,61.8%
BREAKDOWN,208.8,360,89.2%
DROP,209.1,360,51.1%
TRANSITION,212.9,367,53.3%
DROP,214.3,369,57.8%
TRANSITION,217.1,374,78.3%
BREAKDOWN,217.2,374,90.3%
DROP,219.5,378,54.6%
TRANSITION,221.4,381,55.0%
TRANSITION,225.6,389,50.1%
BREAKDOWN,225.6,389,63.1%
DROP,229.3,395,51.7%
TRANSITION,229.8,396,59.0%
TRANSITION,234.0,403,76.7%
BREAKDOWN,234.1,403,90.6%
TRANSITION,238.2,410,58.6%
DROP,242.0,417,67.3%
BREAKDOWN,242.1,417,77.9%
TRANSITION,242.4,418,100.0%
TRANSITION,246.5,425,50.3%
DROP,247.1,426,78.1%
BREAKDOWN,250.5,431,59.4%
TRANSITION,250.9,432,60.1%
DROP,252.7,435,71.0%
TRANSITION,255.1,439,100.0%
DROP,258.4,445,84.5%
BREAKDOWN,258.5,445,100.0%
TRANSITION,259.3,447,100.0%
TRANSITION,263.4,454,56.9%
DROP,264.0,455,97.3%
BREAKDOWN,266.9,460,100.0%
TRANSITION,267.7,461,100.0%
DROP,269.6,464,79.5%
TRANSITION,272.0,469,100.0%
BREAKDOWN,274.9,474,62.6%
DROP,275.2,474,71.7%
TRANSITION,276.2,476,100.0%
TRANSITION,280.3,483,53.2%
DROP,280.9,484,85.8%
BREAKDOWN,283.3,488,100.0%
TRANSITION,284.6,490,100.0%
DROP,286.5,494,96.9%
TRANSITION,288.9,498,100.0%
BREAKDOWN,291.3,502,59.8%
DROP,292.1,503,80.9%
TRANSITION,293.1,505,90.4%
TRANSITION,297.3,512,100.0%
DROP,297.7,513,72.1%
BREAKDOWN,299.7,516,86.7%
TRANSITION,301.5,519,100.0%
DROP,304.8,525,52.3%
TRANSITION,306.2,527,50.2%
BREAKDOWN,308.2,531,68.6%
DROP,309.9,534,61.9%
TRANSITION,310.3,535,52.4%
TRANSITION,314.6,542,100.0%
DROP,315.1,543,100.0%
BREAKDOWN,316.6,545,100.0%
TRANSITION,318.9,549,100.0%
DROP,320.2,552,73.6%
TRANSITION,323.1,557,93.1%
BREAKDOWN,325.0,560,80.1%
DROP,325.9,561,86.1%
TRANSITION,327.3,564,100.0%
DROP,331.5,571,92.9%
TRANSITION,331.5,571,100.0%
BREAKDOWN,333.0,574,86.3%
TRANSITION,335.7,578,86.3%
DROP,337.1,581,80.7%
TRANSITION,339.9,586,100.0%
BREAKDOWN,341.4,588,100.0%
DROP,342.7,590,52.0%
TRANSITION,344.1,593,50.7%
DROP,348.4,600,88.0%
TRANSITION,348.4,600,66.3%
BREAKDOWN,349.4,602,75.5%
TRANSITION,352.6,607,100.0%
DROP,354.0,610,91.6%
TRANSITION,356.8,615,100.0%
BREAKDOWN,357.8,616,60.6%
DROP,359.6,619,75.8%
TRANSITION,360.9,622,56.6%
DROP,365.2,629,68.8%
TRANSITION,365.2,629,100.0%
BREAKDOWN,365.8,630,100.0%
TRANSITION,371.8,641,54.3%
BREAKDOWN,374.2,645,85.2%
TRANSITION,376.5,649,53.1%
TRANSITION,382.1,658,52.0%
BREAKDOWN,382.7,659,70.2%
DROP,384.5,662,100.0%
TRANSITION,386.4,666,100.0%
DROP,389.6,671,99.4%
TRANSITION,390.6,673,100.0%
BREAKDOWN,390.7,673,100.0%
TRANSITION,394.8,680,100.0%
DROP,395.2,681,70.5%
TRANSITION,399.0,687,100.0%
BREAKDOWN,399.1,687,100.0%
DROP,400.9,691,94.1%
TRANSITION,403.2,695,92.4%
DROP,406.5,700,100.0%
TRANSITION,407.4,702,100.0%
BREAKDOWN,407.5,702,83.9%
TRANSITION,411.7,709,100.0%
DROP,412.1,710,99.7%
BREAKDOWN,415.5,716,100.0%
TRANSITION,415.9,716,87.4%
DROP,417.7,720,70.6%
TRANSITION,420.1,724,100.0%
DROP,423.4,729,93.9%
BREAKDOWN,423.9,730,100.0%
TRANSITION,424.3,731,100.0%
TRANSITION,428.4,738,53.0%
DROP,429.0,739,100.0%
BREAKDOWN,432.4,745,81.8%
TRANSITION,433.7,747,50.9%
DROP,434.1,748,55.8%
DROP,439.3,757,71.9%
TRANSITION,439.3,757,62.1%
BREAKDOWN,441.3,760,89.1%
TRANSITION,444.0,765,58.9%
